Rarity,Set Name,Card Type,Pokemon Name,Market Price
Uncommon,SWSH03: Darkness Ablaze,Tool,N/A,0.33
Promo,League & Championship Cards,Tool,N/A,0.32
Uncommon,Deoxys,Tool,N/A,0.31
Uncommon,Double Crisis,Tool,N/A,0.31
Common,Neo Genesis,Tool,N/A,0.31
Uncommon,SWSH04: Vivid Voltage,Tool,N/A,0.3
Uncommon,Double Crisis,Tool,N/A,0.28
Uncommon,Unseen Forces,Tool,N/A,0.26
Uncommon,SM - Ultra Prism,Tool,N/A,0.26
Uncommon,XY - Fates Collide,Tool,N/A,0.25
Uncommon,SM - Unified Minds,Tool,N/A,0.24
Uncommon,SM - Celestial Storm,Tool,N/A,0.23
Uncommon,XY - Ancient Origins,Tool,N/A,0.23
Uncommon,SM - Lost Thunder,Tool,N/A,0.22
Uncommon,XY - BREAKpoint,Tool,N/A,0.21
Uncommon,SM - Lost Thunder,Tool,N/A,0.21
Uncommon,XY - Primal Clash,Tool,N/A,0.21
Uncommon,XY - BREAKthrough,Tool,N/A,0.2
Uncommon,SWSH02: Rebel Clash,Tool,N/A,0.2
Uncommon,SM Base Set,Tool,N/A,0.19
Uncommon,SWSH04: Vivid Voltage,Tool,N/A,0.19
Uncommon,SM Base Set,Tool,N/A,0.19
Uncommon,SWSH02: Rebel Clash,Tool,N/A,0.19
Uncommon,XY - Roaring Skies,Tool,N/A,0.18
Uncommon,SM - Team Up,Tool,N/A,0.17
Uncommon,XY - BREAKthrough,Tool,N/A,0.17
Uncommon,Dragon Majesty,Tool,N/A,0.17
Uncommon,XY - Primal Clash,Tool,N/A,0.17
Uncommon,SM - Crimson Invasion,Tool,N/A,0.17
Uncommon,XY - Steam Siege,Tool,N/A,0.16
Uncommon,XY - Fates Collide,Tool,N/A,0.16
Uncommon,XY - Primal Clash,Tool,N/A,0.15
Uncommon,XY - Evolutions,Tool,N/A,0.15
Uncommon,SM - Lost Thunder,Tool,N/A,0.15
Uncommon,SM - Unified Minds,Tool,N/A,0.14
Uncommon,XY - BREAKthrough,Tool,N/A,0.14
Uncommon,XY - Primal Clash,Tool,N/A,0.14
Uncommon,SWSH03: Darkness Ablaze,Tool,N/A,0.14
Uncommon,SM - Lost Thunder,Tool,N/A,0.14
Uncommon,SM - Unified Minds,Tool,N/A,0.14
Uncommon,SM - Crimson Invasion,Tool,N/A,0.13
Uncommon,XY - Fates Collide,Tool,N/A,0.13
Uncommon,SM - Team Up,Tool,N/A,0.13
Uncommon,XY - BREAKpoint,Tool,N/A,0.13
Uncommon,XY - Ancient Origins,Tool,N/A,0.13
Uncommon,XY - Ancient Origins,Tool,N/A,0.13
Uncommon,SWSH05: Battle Styles,Tool,N/A,0.13
Uncommon,XY - Fates Collide,Tool,N/A,0.12
Uncommon,XY - BREAKpoint,Tool,N/A,0.12
Uncommon,SM - Ultra Prism,Tool,N/A,0.12
Uncommon,XY - Primal Clash,Tool,N/A,0.12
Uncommon,SM - Lost Thunder,Tool,N/A,0.12
Uncommon,SWSH05: Battle Styles,Tool,N/A,0.12
Uncommon,SWSH05: Battle Styles,Tool,N/A,0.12
Uncommon,SM - Team Up,Tool,N/A,0.12
Uncommon,XY - Roaring Skies,Tool,N/A,0.12
Uncommon,XY - Evolutions,Tool,N/A,0.11
Uncommon,XY - Roaring Skies,Tool,N/A,0.11
Uncommon,SM - Ultra Prism,Tool,N/A,0.11
Uncommon,XY - Ancient Origins,Tool,N/A,0.11
Uncommon,XY - Fates Collide,Tool,N/A,0.11
Uncommon,SM - Ultra Prism,Tool,N/A,0.1
Uncommon,SWSH03: Darkness Ablaze,Tool,N/A,0.1
Uncommon,XY - Roaring Skies,Tool,N/A,0.1
Uncommon,XY - Fates Collide,Tool,N/A,0.1
Uncommon,SWSH01: Sword & Shield Base Set,Tool,N/A,0.1
Uncommon,SM - Crimson Invasion,Tool,N/A,0.1
Uncommon,SWSH03: Darkness Ablaze,Tool,N/A,0.1
Uncommon,SWSH04: Vivid Voltage,Tool,N/A,0.1
Uncommon,XY - BREAKthrough,Tool,N/A,0.09
Uncommon,XY - Evolutions,Tool,N/A,0.09
Uncommon,XY - BREAKthrough,Tool,N/A,0.09
Uncommon,XY - Steam Siege,Tool,N/A,0.09
Uncommon,XY - Evolutions,Tool,N/A,0.07
Uncommon,XY - Evolutions,Tool,N/A,0.07
Uncommon,SM - Crimson Invasion,Tool,N/A,0.07
Uncommon,SWSH05: Battle Styles,Tool,N/A,0.07
Uncommon,SWSH01: Sword & Shield Base Set,Tool,N/A,0.07
Ultra Rare,Dragon Frontiers,Pokemon,Charizard,2400.0
Holo Rare,Base Set (Shadowless),Pokemon,Charizard,2266.0
Secret Rare,Neo Destiny,Pokemon,Charizard,1995.01
Ultra Rare,POP Series 5,Pokemon,Espeon,1199.99
Ultra Rare,Holon Phantoms,Pokemon,Mewtwo,1199.99
Holo Rare,Base Set (Shadowless),Pokemon,Blastoise,1099.99
Ultra Rare,FireRed & LeafGreen,Pokemon,Charizard,1056.25
Ultra Rare,POP Series 5,Pokemon,Umbreon,999.99
Promo,SWSH: Sword & Shield Promo Cards,Pokemon,Charizard,859.24
Promo,League & Championship Cards,Pokemon,Umbreon,750.0
Holo Rare,Skyridge,Pokemon,Gengar,749.99
Holo Rare,Expedition,Pokemon,Charizard,742.27
Ultra Rare,Power Keepers,Pokemon,Vaporeon,700.0
Promo,WoTC Promo,Pokemon,Not found,699.21
Promo,WoTC Promo,Pokemon,Not found,637.48
Holo Rare,Legendary Collection,Pokemon,Charizard,584.22
Promo,XY Promos,Pokemon,Charizard,579.28
Secret Rare,Plasma Storm,Pokemon,Charizard,572.47
Shiny Holo Rare,Hidden Fates: Shiny Vault,Pokemon,Charizard,559.54
Ultra Rare,Deoxys,Pokemon,Rayquaza,552.49
Ultra Rare,Unseen Forces,Pokemon,Lugia,549.99
Promo,WoTC Promo,Pokemon,Charmeleon,500.0
Holo Rare,Skyridge,Pokemon,Gyarados,500.0
Ultra Rare,Team Rocket Returns,Pokemon,Snorlax,499.0
Ultra Rare,Delta Species,Pokemon,Metagross,497.5
Holo Rare,Skyridge,Pokemon,Houndoom,492.5
Secret Rare,SM - Burning Shadows,Pokemon,Charizard,475.07
Holo Rare,Skyridge,Pokemon,Flareon,450.0
Secret Rare,Stormfront,Pokemon,Charizard,436.68
Secret Rare,Dragon,Pokemon,Charizard,415.86
Holo Rare,Neo Genesis,Pokemon,Lugia,414.86
Secret Rare,Aquapolis,Pokemon,Nidoking,400.0
Ultra Rare,Unseen Forces,Pokemon,Suicune,400.0
Secret Rare,Skyridge,Pokemon,Celebi,400.0
Ultra Rare,Unseen Forces,Pokemon,Umbreon,399.99
Holo Rare,Base Set (Shadowless),Pokemon,Mewtwo,399.99
Secret Rare,Neo Destiny,Pokemon,Tyranitar,399.99
Holo Rare,Skyridge,Pokemon,Alakazam,399.99
Holo Rare,Base Set,Pokemon,Charizard,391.99
Secret Rare,Aquapolis,Pokemon,Kingdra,390.0
Secret Rare,Neo Revelation,Pokemon,Gyarados,384.25
Ultra Rare,Deoxys,Pokemon,Latios,375.22
Secret Rare,SWSH04: Vivid Voltage,Pokemon,Pikachu,357.82
Ultra Rare,Holon Phantoms,Pokemon,Pikachu,354.99
Promo,WoTC Promo,Pokemon,Pikachu,349.99
Holo Rare,Aquapolis,Pokemon,Umbreon,325.0
Holo Rare,Gym Challenge,Pokemon,Charizard,321.35
Ultra Rare,Crystal Guardians,Pokemon,Alakazam,311.82
Holo Rare,Base Set 2,Pokemon,Charizard,308.7
Promo,SWSH: Sword & Shield Promo Cards,Pokemon,Lugia,303.15
Holo Rare,Expedition,Pokemon,Blastoise,300.98
Promo,WoTC Promo,Pokemon,Clefable,300.0
Ultra Rare,Power Keepers,Pokemon,Flareon,300.0
Shiny Holo Rare,Call of Legends,Pokemon,Rayquaza,300.0
Ultra Rare,Team Rocket Returns,Pokemon,Mudkip,300.0
Ultra Rare,Unseen Forces,Pokemon,Entei,300.0
Ultra Rare,Unseen Forces,Pokemon,Raikou,299.99
Ultra Rare,Deoxys,Pokemon,Rayquaza,299.99
Ultra Rare,Majestic Dawn,Pokemon,Leafeon,299.98
Holo Rare,Skyridge,Pokemon,Crobat,299.97
Holo Rare,Aquapolis,Pokemon,Tyranitar,299.95
Holo Rare,Aquapolis,Pokemon,Houndoom,291.33
Secret Rare,Neo Destiny,Pokemon,Mewtwo,289.3
Ultra Rare,Power Keepers,Pokemon,Jolteon,283.39
Secret Rare,Skyridge,Pokemon,Golem,281.0
Holo Rare,Skyridge,Pokemon,Raikou,279.99
Ultra Rare,FireRed & LeafGreen,Pokemon,Blastoise,278.68
Promo,Best of Promos,Pokemon,Mewtwo,277.5
Holo Rare,Expedition,Pokemon,Mew,270.31
Secret Rare,XY - Flashfire,Pokemon,Charizard,269.62
Ultra Rare,SM - Team Up,Pokemon,Latias,261.98
Holo Rare,Aquapolis,Pokemon,Ninetales,259.97
Shiny Holo Rare,Call of Legends,Pokemon,Lugia,257.5
Holo Rare,Base Set (Shadowless),Pokemon,Venusaur,256.2
Secret Rare,Skyridge,Pokemon,Crobat,250.0
Ultra Rare,Team Rocket Returns,Pokemon,Entei,249.99
Secret Rare,Neo Destiny,Pokemon,Raichu,249.99
Secret Rare,Neo Destiny,Pokemon,Celebi,249.97
Ultra Rare,Team Rocket Returns,Pokemon,Hitmonchan,249.0
Secret Rare,Champion's Path,Pokemon,Charizard,243.87
Ultra Rare,Crystal Guardians,Pokemon,Celebi,235.0
Holo Rare,Skyridge,Pokemon,Moltres,235.0
Secret Rare,Neo Destiny,Pokemon,Noctowl,234.99
Secret Rare,Plasma Storm,Pokemon,Blastoise,230.13
Secret Rare,SM - Lost Thunder,Pokemon,Lugia,228.29
Promo,WoTC Promo,Pokemon,Pikachu,226.11
Secret Rare,Neo Revelation,Pokemon,Magikarp,224.99
Secret Rare,Dragons Exalted,Pokemon,Rayquaza,224.9
Shiny Holo Rare,Shining Fates: Shiny Vault,Pokemon,Charizard,222.91
Holo Rare,Team Rocket,Pokemon,Charizard,221.54
Secret Rare,Champion's Path,Pokemon,Charizard,221.52
Holo Rare,Expedition,Pokemon,Tyranitar,217.5
Ultra Rare,Emerald,Pokemon,Milotic,217.5
Holo Rare,Aquapolis,Pokemon,Entei,213.74
Ultra Rare,Legend Maker,Pokemon,Registeel,212.5
Holo Rare,Aquapolis,Pokemon,Suicune,209.99
Ultra Rare,Supreme Victors,Pokemon,Charizard,208.8
Secret Rare,Neo Destiny,Pokemon,Steelix,207.22
Secret Rare,SM - Unbroken Bonds,Pokemon,Charizard,205.51
Holo Rare,Crystal Guardians,Pokemon,Charizard,205.38
Holo Rare,Skyridge,Pokemon,Machamp,204.39
Holo Rare,Expedition,Pokemon,Dragonite,203.5
Holo Rare,Expedition,Pokemon,Mewtwo,203.0
Holo Rare,Base Set (Shadowless),Pokemon,Zapdos,200.74
Promo,Nintendo Promos,Pokemon,Flygon,200.0
Holo Rare,Skyridge,Pokemon,Raichu,200.0
Promo,XY Promos,Pokemon,Moltres,200.0
Ultra Rare,FireRed & LeafGreen,Pokemon,Venusaur,200.0
Ultra Rare,Holon Phantoms,Pokemon,Gyarados,200.0
Holo Rare,Skyridge,Pokemon,Poliwrath,199.99
Shiny Holo Rare,Call of Legends,Pokemon,Kyogre,199.99
Promo,SWSH: Sword & Shield Promo Cards,Pokemon,Pikachu,197.98
Holo Rare,Neo Genesis,Pokemon,Typhlosion,196.69
Ultra Rare,Unseen Forces,Pokemon,Ho-Oh,193.67
Holo Rare,Legendary Collection,Pokemon,Venusaur,193.33
Holo Rare,Skyridge,Pokemon,Xatu,193.0
Ultra Rare,FireRed & LeafGreen,Pokemon,Gengar,192.91
Holo Rare,HGSS Promos,Pokemon,Lugia,190.0
Holo Rare,Skyridge,Pokemon,Articuno,190.0
Holo Rare,Skyridge,Pokemon,Kabuto,189.47
Ultra Rare,Team Rocket Returns,Pokemon,Scyther,189.0
Holo Rare,Aquapolis,Pokemon,Zapdos,188.99
Ultra Rare,Team Rocket Returns,Pokemon,Scizor,185.0
Secret Rare,Neo Destiny,Pokemon,Kabuto,184.37
Holo Rare,Neo Destiny,Pokemon,Tyranitar,183.33
Holo Rare,Base Set (Shadowless),Pokemon,Alakazam,182.99
Holo Rare,Skyridge,Pokemon,Nidoqueen,179.97
Shiny Holo Rare,Hidden Fates: Shiny Vault,Pokemon,Umbreon,179.69
Holo Rare,Aquapolis,Pokemon,Arcanine,178.99
Ultra Rare,Boundaries Crossed,Pokemon,Not found,178.42
Holo Rare,Neo Destiny,Pokemon,Scizor,175.71
Holo Rare,Neo Destiny,Pokemon,Espeon,175.54
Ultra Rare,Majestic Dawn,Pokemon,Porygon,175.0
Holo Rare,Aquapolis,Pokemon,Kingdra,175.0
Holo Rare,Black and White Promos,Pokemon,Porygon,175.0
Promo,League & Championship Cards,Pokemon,Blastoise,175.0
Promo,League & Championship Cards,Pokemon,Leafeon,175.0
Shiny Holo Rare,Supreme Victors,Pokemon,Milotic,174.99
Promo,WoTC Promo,Pokemon,Venusaur,174.39
Holo Rare,Skyridge,Pokemon,Beedrill,169.99
Holo Rare,Neo Destiny,Pokemon,Dragonite,168.25
Holo Rare,Neo Revelation,Pokemon,Suicune,162.8
Promo,Pikachu World Collection Promos,Pokemon,Pikachu,162.0
Promo,XY Promos,Pokemon,Mewtwo,161.24
Rare,Deck Exclusives,Pokemon,Charizard,160.45
Holo Rare,Skyridge,Pokemon,Jolteon,160.0
Ultra Rare,Power Keepers,Pokemon,Salamence,159.99
Holo Rare,Neo Revelation,Pokemon,Entei,159.57
Holo Rare,Neo Revelation,Pokemon,Not found,159.04
Secret Rare,Dark Explorers,Pokemon,Gardevoir,155.83
Holo Rare,Neo Discovery,Pokemon,Umbreon,154.46
Secret Rare,SM - Unified Minds,Pokemon,Mewtwo,153.47
Holo Rare,Neo Destiny,Pokemon,Arcanine,152.49
Secret Rare,Plasma Freeze,Pokemon,Garchomp,152.48
Shiny Holo Rare,Call of Legends,Pokemon,Suicune,152.34
Ultra Rare,Unseen Forces,Pokemon,Feraligatr,151.5
Holo Rare,Base Set,Pokemon,Blastoise,150.57
Secret Rare,SM - Unbroken Bonds,Pokemon,Blastoise,150.19
Promo,Miscellaneous Cards & Products,Pokemon,Pikachu,150.0
Promo,HGSS Promos,Pokemon,Blastoise,150.0
Ultra Rare,Delta Species,Pokemon,Groudon,150.0
Ultra Rare,Deoxys,Pokemon,Deoxys,150.0
Holo Rare,Aquapolis,Pokemon,Nidoking,149.99
Ultra Rare,Team Rocket Returns,Pokemon,Mewtwo,149.99
Ultra Rare,Team Magma vs Team Aqua,Pokemon,Blaziken,149.99
Promo,Jumbo Cards,Pokemon,Articuno,149.99
Holo Rare,Aquapolis,Pokemon,Togetic,149.09
Secret Rare,SM - Cosmic Eclipse,Pokemon,Charizard,148.98
Ultra Rare,Unseen Forces,Pokemon,Espeon,148.97
Ultra Rare,Hidden Legends,Pokemon,Ninetales,146.32
Ultra Rare,Dragon Frontiers,Pokemon,Mew,145.99
Ultra Rare,Dragon Frontiers,Pokemon,Dragonite,144.48
Ultra Rare,Team Rocket Returns,Pokemon,Articuno,142.5
Holo Rare,Diamond and Pearl Promos,Pokemon,Charizard,141.89
Holo Rare,Aquapolis,Pokemon,Ampharos,141.72
Holo Rare,Skyridge,Pokemon,Dewgong,140.0
Holo Rare,Neo Destiny,Pokemon,Gengar,138.0
Ultra Rare,Legend Maker,Pokemon,Regice,137.68
Holo Rare,Expedition,Pokemon,Typhlosion,137.5
Holo Rare,Aquapolis,Pokemon,Steelix,137.5
Holo Rare,Expedition,Pokemon,Pichu,136.68
Shiny Holo Rare,Call of Legends,Pokemon,Deoxys,135.99
Holo Rare,Expedition,Pokemon,Venusaur,134.99
Holo Rare,Aquapolis,Pokemon,Espeon,134.97
Ultra Rare,Dark Explorers,Pokemon,Groudon,134.91
Holo Rare,Neo Discovery,Pokemon,Espeon,134.35
Promo,XY Promos,Pokemon,Gyarados,133.71
Holo Rare,Gym Challenge,Pokemon,Mewtwo,133.11
Promo,XY Promos,Pokemon,Machamp,132.71
Secret Rare,SM - Celestial Storm,Pokemon,Rayquaza,130.9
Ultra Rare,Delta Species,Pokemon,Jolteon,130.33
Holo Rare,Neo Destiny,Pokemon,Houndoom,129.99
Holo Rare,Base Set (Shadowless),Pokemon,Poliwrath,129.99
Ultra Rare,Team Magma vs Team Aqua,Pokemon,Sceptile,129.97
Holo Rare,Base Set (Shadowless),Pokemon,Gyarados,128.99
Promo,Southern Islands,Pokemon,Mew,128.21
Ultra Rare,Boundaries Crossed,Pokemon,Not found,128.17
Holo Rare,Expedition,Pokemon,Gengar,127.19
Ultra Rare,Dragon Frontiers,Pokemon,Rayquaza,126.66
Secret Rare,Dragon,Pokemon,Charmander,126.6
Holo Rare,Secret Wonders,Pokemon,Charizard,126.59
Ultra Rare,Team Magma vs Team Aqua,Pokemon,Suicune,126.35
Secret Rare,XY - Phantom Forces,Pokemon,Dialga,126.25
Secret Rare,FireRed & LeafGreen,Pokemon,Articuno,125.93
Ultra Rare,Emerald,Pokemon,Registeel,124.99
Holo Rare,Aquapolis,Pokemon,Octillery,124.98
Ultra Rare,Ruby and Sapphire,Pokemon,Mewtwo,124.21
Promo,League & Championship Cards,Pokemon,Mew,122.14
Holo Rare,Base Set 2,Pokemon,Blastoise,122.0
Secret Rare,FireRed & LeafGreen,Pokemon,Zapdos,121.55
Promo,SWSH: Sword & Shield Promo Cards,Pokemon,Charizard,120.04
Ultra Rare,Hidden Legends,Pokemon,Metagross,120.0
Ultra Rare,Delta Species,Pokemon,Flareon,119.99
Ultra Rare,FireRed & LeafGreen,Pokemon,Gyarados,119.99
Rare,Expedition,Pokemon,Charizard,119.19
Holo Rare,Expedition,Pokemon,Feraligatr,118.5
Holo Rare,Legendary Collection,Pokemon,Blastoise,118.33
Ultra Rare,Rising Rivals,Pokemon,Snorlax,117.5
Holo Rare,Power Keepers,Pokemon,Charizard,117.18
Holo Rare,Aquapolis,Pokemon,Tentacruel,115.5
Holo Rare,Base Set (Shadowless),Pokemon,Hitmonchan,115.0
Holo Rare,Mysterious Treasures,Pokemon,Not found,114.65
Ultra Rare,Majestic Dawn,Pokemon,Glaceon,113.99
Shiny Holo Rare,Call of Legends,Pokemon,Dialga,113.57
Ultra Rare,Unseen Forces,Pokemon,Steelix,112.5
Secret Rare,Unseen Forces,Pokemon,Celebi,111.95
Ultra Rare,Holon Phantoms,Pokemon,Mew,111.83
Secret Rare,Shining Legends,Pokemon,Mewtwo,111.63
Ultra Rare,Team Rocket Returns,Pokemon,Moltres,111.11
Ultra Rare,SWSH05: Battle Styles,Pokemon,Tyranitar,110.74
Promo,League & Championship Cards,Pokemon,Charmander,110.0
Promo,Nintendo Promos,Pokemon,Snorlax,109.99
Holo Rare,Neo Genesis,Pokemon,Typhlosion,109.59
Ultra Rare,Team Magma vs Team Aqua,Pokemon,Swampert,109.5
Rare,Black and White Promos,Pokemon,Arcanine,109.5
Promo,SM Promos,Pokemon,Entei,108.24
Holo Rare,Aquapolis,Pokemon,Scizor,107.61
Ultra Rare,Dragon,Pokemon,Rayquaza,107.1
Holo Rare,Aquapolis,Pokemon,Slowking,106.49
Secret Rare,SM - Team Up,Pokemon,Pikachu,106.29
Secret Rare,FireRed & LeafGreen,Pokemon,Moltres,105.76
Shiny Holo Rare,Hidden Fates: Shiny Vault,Pokemon,Espeon,103.4
Holo Rare,Skyridge,Pokemon,Magneton,103.33
Ultra Rare,Emerald,Pokemon,Raichu,102.5
Ultra Rare,Unseen Forces,Pokemon,Typhlosion,102.49
Holo Rare,Base Set,Pokemon,Venusaur,101.58
Secret Rare,SWSH05: Battle Styles,Pokemon,Urshifu,100.66
Holo Rare,Base Set (Shadowless),Pokemon,Clefairy,100.08
Promo,Jumbo Cards,Pokemon,Entei,100.0
Ultra Rare,Legend Maker,Pokemon,Armaldo,100.0
Holo Rare,Skyridge,Pokemon,Magcargo,100.0
Promo,Miscellaneous Cards & Products,Pokemon,Charizard,100.0
Holo Rare,Aquapolis,Pokemon,Hypno,100.0
Ultra Rare,Unseen Forces,Pokemon,Scizor,100.0
Promo,Jumbo Cards,Pokemon,Zoroark,99.99
Promo,League & Championship Cards,Pokemon,Not found,99.99
Promo,XY Promos,Pokemon,Tyranitar,99.99
Ultra Rare,Team Rocket Returns,Pokemon,Zapdos,99.99
Ultra Rare,Legend Maker,Pokemon,Regirock,99.98
Holo Rare,Legendary Collection,Pokemon,Flareon,99.97
Promo,Best of Promos,Pokemon,Hitmonchan,99.95
Holo Rare,Skyridge,Pokemon,Ledian,99.95
Ultra Rare,Legend Maker,Pokemon,Arcanine,99.85
Promo,Nintendo Promos,Pokemon,Salamence,99.75
Promo,SM Promos,Pokemon,Raichu,99.62
Ultra Rare,Deoxys,Pokemon,Sharpedo,99.48
Holo Rare,Team Rocket,Pokemon,Blastoise,99.44
Ultra Rare,Emerald,Pokemon,Altaria,99.0
Ultra Rare,XY - Flashfire,Pokemon,Charizard,98.84
Secret Rare,Unseen Forces,Pokemon,Persian,98.48
Holo Rare,Base Set (Shadowless),Pokemon,Raichu,98.33
Secret Rare,Team Rocket Returns,Pokemon,Charmeleon,97.94
Ultra Rare,XY - Ancient Origins,Pokemon,Rayquaza,97.82
Secret Rare,Legend Maker,Pokemon,Pikachu,97.47
Ultra Rare,Sandstorm,Pokemon,Typhlosion,96.97
Secret Rare,Rising Rivals,Pokemon,Pikachu,95.99
Ultra Rare,Rising Rivals,Pokemon,Luxray,95.49
Shiny Holo Rare,Hidden Fates: Shiny Vault,Pokemon,Sylveon,95.42
Holo Rare,Expedition,Pokemon,Ninetales,95.0
Holo Rare,Skyridge,Pokemon,Rhydon,95.0
Shiny Holo Rare,Call of Legends,Pokemon,Raikou,95.0
Secret Rare,Deoxys,Pokemon,Raikou,94.98
Secret Rare,Legendary Treasures,Pokemon,Reshiram,94.57
Secret Rare,XY - Flashfire,Pokemon,Charizard,94.53
Promo,SM Promos,Pokemon,Jirachi,94.28
Ultra Rare,Dark Explorers,Pokemon,Darkrai,94.2
Holo Rare,Aquapolis,Pokemon,Victreebel,94.12
Promo,SM Promos,Pokemon,Suicune,93.38
Rare,Skyridge,Pokemon,Gengar,93.33
Secret Rare,SM - Lost Thunder,Pokemon,Suicune,93.28
Promo,SWSH: Sword & Shield Promo Cards,Pokemon,Snorlax,93.24
Secret Rare,Legendary Treasures,Pokemon,Zekrom,92.94
Ultra Rare,SM - Cosmic Eclipse,Pokemon,Dialga,92.9
Promo,WoTC Promo,Pokemon,Pikachu,92.57
Holo Rare,Gym Challenge,Pokemon,Venusaur,92.54
Secret Rare,SM - Lost Thunder,Pokemon,Mimikyu,92.4
Ultra Rare,XY - Ancient Origins,Pokemon,Lugia,92.16
Ultra Rare,Dark Explorers,Pokemon,Kyogre,91.5
Ultra Rare,Emerald,Pokemon,Regice,91.5
Ultra Rare,Great Encounters,Pokemon,Palkia,91.46
Holo Rare,Skyridge,Pokemon,Politoed,91.16
Holo Rare,Neo Revelation,Pokemon,Raikou,91.15
Shiny Holo Rare,Call of Legends,Pokemon,Groudon,91.0
Holo Rare,XY - Evolutions,Pokemon,Charizard,90.98
Holo Rare,Base Set 2,Pokemon,Venusaur,90.73
Holo Rare,Skyridge,Pokemon,Steelix,90.0
Holo Rare,Skyridge,Pokemon,Magneton,89.99
Holo Rare,Expedition,Pokemon,Poliwrath,89.99
Ultra Rare,Emerald,Pokemon,Deoxys,89.99
Holo Rare,Expedition,Pokemon,Alakazam,89.99
Ultra Rare,POP Series 4,Pokemon,Deoxys,89.99
Secret Rare,Supreme Victors,Pokemon,Articuno,89.96
Secret Rare,Plasma Freeze,Pokemon,Not found,89.95
Holo Rare,Aquapolis,Pokemon,Magneton,89.84
Secret Rare,Supreme Victors,Pokemon,Moltres,89.24
Secret Rare,Plasma Blast,Pokemon,Exeggcute,89.15
Holo Rare,Neo Discovery,Pokemon,Tyranitar,89.13
Secret Rare,SM - Forbidden Light,Pokemon,Greninja,89.06
Ultra Rare,Dark Explorers,Pokemon,Entei,88.49
Ultra Rare,Dragons Exalted,Pokemon,Mew,88.22
Ultra Rare,Dragon,Pokemon,Latias,88.08
Promo,SM Promos,Pokemon,Kyogre,87.95
Ultra Rare,SWSH03: Darkness Ablaze,Pokemon,Charizard,87.85
Shiny Holo Rare,Shining Legends,Pokemon,Mewtwo,87.53
Holo Rare,Neo Destiny,Pokemon,Togetic,87.5
Promo,Miscellaneous Cards & Products,Pokemon,Eevee,87.33
Shiny Holo Rare,Arceus,Pokemon,Ponyta,86.76
Secret Rare,Dragon,Pokemon,Charmeleon,86.24
Holo Rare,Expedition,Pokemon,Raichu,85.89
Holo Rare,Delta Species,Pokemon,Mewtwo,85.49
Ultra Rare,Legends Awakened,Pokemon,Mewtwo,85.41
Secret Rare,Hidden Legends,Pokemon,Groudon,84.5
Promo,Miscellaneous Cards & Products,Pokemon,Pikachu,84.38
Holo Rare,Skyridge,Pokemon,Forretress,83.66
Holo Rare,Neo Revelation,Pokemon,Houndoom,83.48
Promo,Rumble,Pokemon,Pikachu,83.19
Holo Rare,Team Rocket,Pokemon,Dragonite,82.99
Promo,SM Promos,Pokemon,Lugia,82.99
Ultra Rare,Plasma Storm,Pokemon,Lugia,82.98
Ultra Rare,Crystal Guardians,Pokemon,Jirachi,82.73
Secret Rare,Next Destinies,Pokemon,Zoroark,82.0
Ultra Rare,Team Rocket Returns,Pokemon,Suicune,82.0
Secret Rare,Next Destinies,Pokemon,Chandelure,81.92
Secret Rare,Plasma Freeze,Pokemon,Empoleon,81.83
Shiny Holo Rare,Call of Legends,Pokemon,Entei,81.74
Ultra Rare,Plasma Freeze,Pokemon,Not found,81.61
Holo Rare,Expedition,Pokemon,Meganium,80.98
Ultra Rare,Dragon,Pokemon,Dragonite,80.78
Ultra Rare,HeartGold SoulSilver,Pokemon,Lugia,80.58
Holo Rare,Neo Destiny,Pokemon,Feraligatr,80.58
Common,Base Set (Shadowless),Pokemon,Pikachu,80.35
Secret Rare,Skyridge,Pokemon,Not found,80.0
Promo,XY Promos,Pokemon,Gyarados,80.0
Promo,XY Promos,Pokemon,Moltres,79.99
Ultra Rare,Team Magma vs Team Aqua,Pokemon,Entei,79.99
Secret Rare,Next Destinies,Pokemon,Emboar,79.99
Ultra Rare,Team Magma vs Team Aqua,Pokemon,Raikou,79.98
Holo Rare,Aquapolis,Pokemon,Jumpluff,79.95
Ultra Rare,Dragon Frontiers,Pokemon,Gardevoir,79.93
Rare,Expedition,Pokemon,Charizard,79.86
Ultra Rare,POP Series 2,Pokemon,Celebi,79.28
Rare,Skyridge,Pokemon,Umbreon,79.07
Ultra Rare,Unseen Forces,Pokemon,Meganium,78.79
Ultra Rare,POP Series 3,Pokemon,Ho-Oh,78.75
Ultra Rare,Delta Species,Pokemon,Vaporeon,78.72
Promo,Nintendo Promos,Pokemon,Raichu,78.5
Secret Rare,Dragon Majesty,Pokemon,Necrozma,78.44
Holo Rare,Aquapolis,Pokemon,Sudowoodo,78.14
Ultra Rare,Dragons Exalted,Pokemon,Rayquaza,78.03
Ultra Rare,Deoxys,Pokemon,Manectric,77.99
Holo Rare,Aquapolis,Pokemon,Bellossom,77.71
Secret Rare,Supreme Victors,Pokemon,Zapdos,77.59
Ultra Rare,Dragon Frontiers,Pokemon,Latias,76.83
Ultra Rare,Dragon Frontiers,Pokemon,Flygon,76.47
Secret Rare,Next Destinies,Pokemon,Hydreigon,76.35
Holo Rare,Delta Species,Pokemon,Dragonite,76.25
Secret Rare,Team Magma vs Team Aqua,Pokemon,Absol,75.99
Ultra Rare,Sandstorm,Pokemon,Raichu,75.74
Secret Rare,SM - Team Up,Pokemon,Gengar,75.66
