Card Name,Rarity,Set Name,Card Type,Pokemon Name,Market Price
Hop,Uncommon,SWSH01: Sword & Shield Base Set,Supporter,N/A,0.09
Ball Guy,Uncommon,Shining Fates,Supporter,N/A,0.09
Molayne,Uncommon,SM - Unbroken Bonds,Supporter,N/A,0.09
Hau - 120/149 (#57 Charizard Stamped),Uncommon,Battle Academy,Supporter,N/A,0.09
Brock's Grit,Uncommon,XY - Evolutions,Supporter,N/A,0.09
Rapid Strike Style Mustard,Uncommon,SWSH05: Battle Styles,Supporter,N/A,0.09
Misty's Determination,Uncommon,XY - Evolutions,Supporter,N/A,0.09
League Staff,Uncommon,SWSH04: Vivid Voltage,Supporter,N/A,0.08
Wicke,Uncommon,SM - Burning Shadows,Supporter,N/A,0.08
Cara Liss,Uncommon,SWSH04: Vivid Voltage,Supporter,N/A,0.08
Dan,Uncommon,SWSH02: Rebel Clash,Supporter,N/A,0.08
Bug Catcher - 189/236 (#47 Charizard Stamped),Uncommon,Battle Academy,Supporter,N/A,0.07
Sophocles,Uncommon,SM - Burning Shadows,Supporter,N/A,0.07
Sordward & Shielbert,Uncommon,SWSH05: Battle Styles,Supporter,N/A,0.07
Kabu,Uncommon,Champion's Path,Supporter,N/A,0.06
Milo,Uncommon,Champion's Path,Supporter,N/A,0.06
Gym Trainer,Uncommon,Shining Fates,Supporter,N/A,0.05
Prof. Oak's Research (2004-2005),Promo,Professor Program Promos,Supporter,N/A,0.00
TV Reporter,Uncommon,EX Battle Stadium,Supporter,N/A,0.00
Hala - 126/145 (Regional Championship Promo) [Staff],Promo,League & Championship Cards,Supporter,N/A,0.00
Bug Catcher - 189/236 (#51 Pikachu Stamped),Uncommon,Battle Academy,Supporter,N/A,0.00
Trevor (Wigglytuff),Common,XY Trainer Kit: Bisharp & Wigglytuff,Supporter,N/A,0.00
Ace Trainer - 69/98 (International Challenge Promo) [Staff],Promo,League & Championship Cards,Supporter,N/A,0.00
Professor Birch (2006),Promo,Professor Program Promos,Supporter,N/A,0.00
Professor Elm's Training Method - 100/123 (League Promo),Promo,League & Championship Cards,Supporter,N/A,0.00
Tierno (Wigglytuff),Common,XY Trainer Kit: Bisharp & Wigglytuff,Supporter,N/A,0.00
Here Comes Team Rocket!,Secret Rare,Team Rocket Returns,Supporter,N/A,0.00
Pokemon Communication - 152a/152 (Oceania International Promo),Promo,League & Championship Cards,Supporter,N/A,0.00
Bug Catcher - 189/236 (#34 Charizard Stamped),Uncommon,Battle Academy,Supporter,N/A,0.00
Victory Cup (1st - Autumn 2011),Holo Rare,Black and White Promos,Item,N/A,199.95
Victory Cup (1st - Spring 2013),Holo Rare,Black and White Promos,Item,N/A,130.00
Tropical Wind,Promo,Nintendo Promos,Item,N/A,56.00
Victory Cup (1st - Autumn 2012),Holo Rare,Black and White Promos,Item,N/A,50.00
Crushing Hammer (Secret Rare),Secret Rare,SM - Ultra Prism,Item,N/A,48.13
Quick Ball (Secret),Secret Rare,SWSH01: Sword & Shield Base Set,Item,N/A,43.60
Victory Cup (3rd - Spring 2012),Holo Rare,Black and White Promos,Item,N/A,43.50
Victory Cup (3rd - Autumn 2012),Holo Rare,Black and White Promos,Item,N/A,40.00
Escape Rope (Secret),Secret Rare,SM - Burning Shadows,Item,N/A,36.64
Switch (Secret),Secret Rare,SM Base Set,Item,N/A,32.48
Ultra Ball (Secret),Secret Rare,SM Base Set,Item,N/A,30.20
Ultra Ball (NA Championship Promo) [Staff],Promo,League & Championship Cards,Item,N/A,27.32
Cherish Ball (Secret),Secret Rare,SM - Unified Minds,Item,N/A,25.06
Pokemon Catcher - 95/98 (Player Rewards),Promo,League & Championship Cards,Item,N/A,24.99
Rare Candy (Secret),Secret Rare,SM - Guardians Rising,Item,N/A,24.94
Victory Cup (1st - Spring 2012),Holo Rare,Black and White Promos,Item,N/A,23.99
VS Seeker,Secret Rare,XY - Roaring Skies,Item,N/A,23.02
Pokemon Communication (Secret),Secret Rare,SM - Team Up,Item,N/A,22.62
Switch (163 Secret Rare),Secret Rare,XY - Primal Clash,Item,N/A,21.68
Lillie's Poke Doll (Secret),Secret Rare,SM - Cosmic Eclipse,Item,N/A,21.21
Energy Recycler (Secret),Secret Rare,SM - Forbidden Light,Item,N/A,20.32
Level Ball (Secret),Secret Rare,SWSH05: Battle Styles,Item,N/A,19.37
Friend Ball,Uncommon,Skyridge,Item,N/A,16.99
Scoop Up Net (Secret),Secret Rare,SWSH02: Rebel Clash,Item,N/A,16.50
Ultra Ball - 68a/73 (League Promo) [Staff],Promo,League & Championship Cards,Item,N/A,16.32
Fiery Flint (Secret),Secret Rare,Dragon Majesty,Item,N/A,15.22
Net Ball (Secret),Secret Rare,SM - Lost Thunder,Item,N/A,14.40
Professor Elm's Lecture - 188/214 (Regional Championship Promo) [Staff],Promo,League & Championship Cards,Item,N/A,14.29
Quick Ball - 179/202 (League Promo) [Staff],Promo,League & Championship Cards,Item,N/A,14.26
Rainbow Brush (Secret),Secret Rare,SM - Celestial Storm,Item,N/A,14.22
Dive Ball (161 Secret Rare),Secret Rare,XY - Primal Clash,Item,N/A,14.09
Reset Stamp (Secret),Secret Rare,SM - Unified Minds,Item,N/A,14.01
Mysterious Treasure - 113/131 (League Promo) [Staff],Promo,League & Championship Cards,Item,N/A,13.99
Mysterious Treasure (Secret),Secret Rare,SM - Forbidden Light,Item,N/A,12.80
Tag Call (Secret),Secret Rare,SM - Cosmic Eclipse,Item,N/A,12.73
Gym Badge (Koga),Promo,XY Promos,Item,N/A,12.30
Gym Badge (Sabrina),Promo,XY Promos,Item,N/A,12.20
Electropower (Secret),Secret Rare,SM - Lost Thunder,Item,N/A,12.03
Acro Bike (Secret),Secret Rare,SM - Celestial Storm,Item,N/A,11.92
Metal Saucer (Secret),Secret Rare,SWSH01: Sword & Shield Base Set,Item,N/A,11.55
Max Potion (Secret),Secret Rare,SM - Guardians Rising,Item,N/A,11.35
Trainers' Mail,Secret Rare,XY - Ancient Origins,Item,N/A,11.19
Gym Badge (Erika),Promo,XY Promos,Item,N/A,11.09
Switch Raft (Secret),Secret Rare,Dragon Majesty,Item,N/A,10.86
Ordinary Rod (Secret),Secret Rare,SWSH01: Sword & Shield Base Set,Item,N/A,10.77
Gym Badge (Brock),Promo,XY Promos,Item,N/A,10.37
Fire Crystal (Secret),Secret Rare,SM - Unbroken Bonds,Item,N/A,10.35
Rare Candy - 142/168 (League Promo) [Staff],Promo,League & Championship Cards,Item,N/A,10.29
U-Turn Board (Secret),Secret Rare,SM - Unified Minds,Item,N/A,10.14
Bodybuilding Dumbbells - 113/147 (League Promo) [Staff],Promo,League & Championship Cards,Item,N/A,10.00
Energy Switch,Secret Rare,XY - Roaring Skies,Item,N/A,9.87
Karate Belt (Secret),Secret Rare,SM - Unified Minds,Item,N/A,9.71
Great Catcher (Secret),Secret Rare,SM - Cosmic Eclipse,Item,N/A,9.67
Gym Badge (Giovanni),Promo,XY Promos,Item,N/A,9.54
Cherish Ball - 191a/236 (League Promo) [Staff],Promo,League & Championship Cards,Item,N/A,9.53
Nest Ball (Secret),Secret Rare,SM Base Set,Item,N/A,9.45
Gym Badge (Blaine),Promo,XY Promos,Item,N/A,9.24
Turbo Patch (Secret),Secret Rare,SWSH03: Darkness Ablaze,Item,N/A,8.99
Gym Badge (Misty),Promo,XY Promos,Item,N/A,8.86
Field Blower (Secret),Secret Rare,SM - Guardians Rising,Item,N/A,8.68
Tool Scrapper (Secret),Secret Rare,SWSH02: Rebel Clash,Item,N/A,7.87
Rescue Stretcher (Secret),Secret Rare,SM - Burning Shadows,Item,N/A,7.87
Gym Badge (Lt. Surge),Promo,XY Promos,Item,N/A,7.79
Pokegear 3.0 - 182a/214 (League Promo) [Staff],Promo,League & Championship Cards,Item,N/A,7.60
Rare Candy,Uncommon,POP Series 8,Item,N/A,7.59
Enhanced Hammer (Secret),Secret Rare,SM - Guardians Rising,Item,N/A,7.57
Life Herb (Secret),Secret Rare,SM - Celestial Storm,Item,N/A,7.55
Rare Candy,Uncommon,Sandstorm,Item,N/A,7.44
Nest Ball - 123/149 (League Promo) [Staff],Promo,League & Championship Cards,Item,N/A,7.43
Enhanced Hammer (162 Secret Rare),Secret Rare,XY - Primal Clash,Item,N/A,7.39
Pokegear 3.0 (Secret),Secret Rare,SM - Unbroken Bonds,Item,N/A,7.32
Professor Elm's Lecture - 188a/214 (League Promo) [1st Place],Promo,League & Championship Cards,Item,N/A,7.23
Lana's Fishing Rod (Secret),Secret Rare,SM - Cosmic Eclipse,Item,N/A,6.97
Missing Clover (Secret Rare),Secret Rare,SM - Ultra Prism,Item,N/A,6.94
Ultra Ball (NA Championship Promo),Promo,League & Championship Cards,Item,N/A,6.94
Beast Ring (Secret),Secret Rare,SM - Forbidden Light,Item,N/A,6.90
Energy Retrieval,Secret Rare,XY - Ancient Origins,Item,N/A,6.84
Rare Candy,Uncommon,Emerald,Item,N/A,6.83
Fast Ball,Uncommon,Skyridge,Item,N/A,6.61
Custom Catcher (Secret),Secret Rare,SM - Lost Thunder,Item,N/A,6.38
Peeking Red Card (Secret Rare),Secret Rare,SM - Ultra Prism,Item,N/A,6.21
Aqua Patch (Secret),Secret Rare,SM - Guardians Rising,Item,N/A,6.11
Lost Blender (Secret),Secret Rare,SM - Lost Thunder,Item,N/A,5.93
Eneporter (Secret),Secret Rare,SM - Forbidden Light,Item,N/A,5.89
Electropower - 172/214 (League Promo) [Staff],Promo,League & Championship Cards,Item,N/A,5.89
Adventure Bag (Secret),Secret Rare,SM - Lost Thunder,Item,N/A,5.80
Wait and See Hammer (Secret),Secret Rare,SM - Lost Thunder,Item,N/A,5.73
Energy Switch,Uncommon,Aquapolis,Item,N/A,5.64
Rotom Dex (Secret),Secret Rare,SM Base Set,Item,N/A,5.58
Tag Switch (Secret),Secret Rare,SM - Unified Minds,Item,N/A,5.53
Dangerous Drill (Secret),Secret Rare,SM - Team Up,Item,N/A,5.48
Island Challenge Amulet (Secret),Secret Rare,SM - Cosmic Eclipse,Item,N/A,5.40
Hyper Potion,Uncommon,Skyridge,Item,N/A,5.34
Electromagnetic Radar (Secret),Secret Rare,SM - Unbroken Bonds,Item,N/A,5.28
PokeNav (Secret),Secret Rare,SM - Celestial Storm,Item,N/A,5.18
Lure Ball,Uncommon,Skyridge,Item,N/A,4.99
Volkner - 135a/154 (League Challenge) [1st Place],Promo,League & Championship Cards,Item,N/A,4.93
VS Seeker,Uncommon,FireRed & LeafGreen,Item,N/A,4.92
Cherish Ball - 191a/236 (League Promo),Promo,League & Championship Cards,Item,N/A,4.88
Judge Whistle (Secret),Secret Rare,SM - Team Up,Item,N/A,4.73
Super Scoop Up (Secret),Secret Rare,SM - Burning Shadows,Item,N/A,4.71
Night Maintenance,Uncommon,POP Series 8,Item,N/A,4.50
Multi Switch (Secret),Secret Rare,SM - Burning Shadows,Item,N/A,4.48
Electrocharger (Secret),Secret Rare,SM - Team Up,Item,N/A,4.44
Beast Ring - 102a/131 (League Promo) [Staff],Promo,League & Championship Cards,Item,N/A,4.30
Rare Candy,Uncommon,Holon Phantoms,Item,N/A,4.03
Rare Candy,Uncommon,POP Series 5,Item,N/A,4.00
Super Scoop Up,Uncommon,Expedition,Item,N/A,3.86
Warp Point,Uncommon,Expedition,Item,N/A,3.76
Max Elixir,Uncommon,XY - BREAKpoint,Item,N/A,3.57
Gengar Spirit Link - 95/119 (Alternate Holo) (Gamestop Exclusive),Promo,Miscellaneous Cards & Products,Item,N/A,3.46
Quick Ball - 179/202 (League Promo),Promo,League & Championship Cards,Item,N/A,3.34
Cherish Ball,Uncommon,SM - Unified Minds,Item,N/A,3.31
Master Ball,Uncommon,Expedition,Item,N/A,3.29
Professor Elm's Lecture - 188/214 (Regional Championship Promo),Promo,League & Championship Cards,Item,N/A,3.24
Battle Compressor,Uncommon,XY - Phantom Forces,Item,N/A,3.17
Suspicious Food Tin (Secret),Secret Rare,Champion's Path,Item,N/A,2.96
VS Seeker,Uncommon,XY - Phantom Forces,Item,N/A,2.76
Volkner - 135a/154 (League Challenge) [2nd Place],Promo,League & Championship Cards,Item,N/A,2.56
Great Ball,Uncommon,FireRed & LeafGreen,Item,N/A,2.49
Ultra Ball - 68a/73 (League Promo),Promo,League & Championship Cards,Item,N/A,2.48
Pokemon Catcher (League Promo),Promo,League & Championship Cards,Item,N/A,2.40
Professor Elm's Lecture - 188a/214 (League Promo) [3rd Place],Promo,League & Championship Cards,Item,N/A,2.39
Crushing Hammer - 34/39 (League Promo),Promo,League & Championship Cards,Item,N/A,2.36
Quick Ball,Common,DP Trainer Kit: Manaphy & Lucario,Item,N/A,2.33
Professor Elm's Lecture - 188a/214 (League Promo) [2nd Place],Promo,League & Championship Cards,Item,N/A,2.32
Dual Ball,Uncommon,Expedition,Item,N/A,2.30
Rare Candy - 142/168 (League Promo),Promo,League & Championship Cards,Item,N/A,2.10
Pokegear 3.0 - 182a/214 (League Promo),Promo,League & Championship Cards,Item,N/A,2.02
Pokemon Reversal,Uncommon,Expedition,Item,N/A,2.02
Pokemon Communication (#27),Common,HGSS Trainer Kit: Gyarados & Raichu,Item,N/A,2.02
Professor Elm's Lecture - 188a/214 (League Promo) [4th Place],Promo,League & Championship Cards,Item,N/A,2.01
Volkner - 135a/154 (League Challenge) [3rd Place],Promo,League & Championship Cards,Item,N/A,1.99
Pokemon Communication (#22),Common,HGSS Trainer Kit: Gyarados & Raichu,Item,N/A,1.97
Scoop Up Net,Uncommon,SWSH02: Rebel Clash,Item,N/A,1.91
Switch,Common,Expedition,Item,N/A,1.82
Dive Ball,Uncommon,XY - Primal Clash,Item,N/A,1.80
Professor's Letter - 123/146 (League Promo),Promo,League & Championship Cards,Item,N/A,1.78
Fiery Flint,Uncommon,Dragon Majesty,Item,N/A,1.75
Aqua Patch - 119/145 (League Promo) [Staff],Promo,League & Championship Cards,Item,N/A,1.73
Rocket's Poke Ball,Uncommon,Team Rocket Returns,Item,N/A,1.73
Trainers' Mail (Holo) - 92a/108,Promo,Alternate Art Promos,Item,N/A,1.71
Dusk Ball,Common,DP Trainer Kit: Manaphy & Lucario,Item,N/A,1.70
Trainers' Mail (Non-Holo) - 92a/108,Promo,Alternate Art Promos,Item,N/A,1.68
Electropower - 172/214 (League Promo),Promo,League & Championship Cards,Item,N/A,1.60
Pokemon Reversal,Uncommon,FireRed & LeafGreen,Item,N/A,1.51
Volkner - 135a/154 (League Challenge) [4th Place],Promo,League & Championship Cards,Item,N/A,1.49
Crushing Hammer,Uncommon,Generations,Item,N/A,1.46
U-Turn Board,Uncommon,SM - Unified Minds,Item,N/A,1.44
Energy Removal 2,Uncommon,Expedition,Item,N/A,1.41
Nest Ball - 123/149 (League Promo),Promo,League & Championship Cards,Item,N/A,1.40
Poke Ball,Uncommon,FireRed & LeafGreen,Item,N/A,1.23
Energy Restore,Uncommon,Expedition,Item,N/A,1.23
Energy Switch,Uncommon,Ruby and Sapphire,Item,N/A,1.22
Super Scoop Up,Uncommon,FireRed & LeafGreen,Item,N/A,1.15
Crushing Hammer,Uncommon,SWSH01: Sword & Shield Base Set,Item,N/A,1.14
Mysterious Treasure - 113/131 (League Promo),Promo,League & Championship Cards,Item,N/A,1.12
Crushing Hammer,Uncommon,SM Base Set,Item,N/A,1.10
Buff Padding,Uncommon,SM - Team Up,Item,N/A,1.09
Professor's Letter (Noivern),Common,XY Trainer Kit: Sylveon & Noivern,Item,N/A,1.01
Head Ringer,Holo Rare,XY - Phantom Forces,Item,N/A,0.98
Pokemon Communication - 152b/181,Promo,Alternate Art Promos,Item,N/A,0.98
PokeDex (HANDY909),Uncommon,FireRed & LeafGreen,Item,N/A,0.95
Professor's Letter - 146a/162,Promo,Alternate Art Promos,Item,N/A,0.92
Super Energy Removal 2,Uncommon,Aquapolis,Item,N/A,0.92
Master Ball,Uncommon,Deoxys,Item,N/A,0.91
Pokemon Reversal,Uncommon,Unseen Forces,Item,N/A,0.90
Electropower - 172a/214 (League Promo),Promo,League & Championship Cards,Item,N/A,0.90
Great Ball,Uncommon,Delta Species,Item,N/A,0.88
Fiery Torch (Sheen Holo) (Pyroar Collection Exclusive),Promo,Miscellaneous Cards & Products,Item,N/A,0.87
Switch (Raichu),Common,HGSS Trainer Kit: Gyarados & Raichu,Item,N/A,0.86
Crushing Hammer,Common,Kalos Starter Set,Item,N/A,0.83
Super Scoop Up,Uncommon,Delta Species,Item,N/A,0.80
Evosoda,Uncommon,Generations,Item,N/A,0.80
Master Ball,Uncommon,Delta Species,Item,N/A,0.78
Fiery Flint - 60a/70 (League Promo),Promo,League & Championship Cards,Item,N/A,0.77
Energy Charge,Uncommon,Deoxys,Item,N/A,0.76
Energy Search,Common,Expedition,Item,N/A,0.76
Electropower,Uncommon,SM - Lost Thunder,Item,N/A,0.75
Trainers' Mail,Uncommon,XY - Roaring Skies,Item,N/A,0.75
Fiery Torch - 89/106 (League Promo),Promo,League & Championship Cards,Item,N/A,0.74
Acro Bike - 123a/168 (League Promo),Promo,League & Championship Cards,Item,N/A,0.72
Pokemon Reversal,Uncommon,Ruby and Sapphire,Item,N/A,0.72
Quick Ball,Uncommon,SWSH01: Sword & Shield Base Set,Item,N/A,0.70
Team Magma Ball,Uncommon,Team Magma vs Team Aqua,Item,N/A,0.70
Dual Ball,Uncommon,Team Magma vs Team Aqua,Item,N/A,0.69
Lillie's Poke Doll,Uncommon,SM - Cosmic Eclipse,Item,N/A,0.68
Mysterious Treasure,Uncommon,SM - Forbidden Light,Item,N/A,0.67
Holon Fossil,Uncommon,Holon Phantoms,Item,N/A,0.64
Dual Ball,Uncommon,Delta Species,Item,N/A,0.64
Energy Switch (Raichu),Common,HGSS Trainer Kit: Gyarados & Raichu,Item,N/A,0.63
Claw Fossil,Common,Holon Phantoms,Item,N/A,0.63
Energy Switch (Gyarados),Common,HGSS Trainer Kit: Gyarados & Raichu,Item,N/A,0.61
Switch Raft,Uncommon,Dragon Majesty,Item,N/A,0.61
Team Aqua Ball,Uncommon,Team Magma vs Team Aqua,Item,N/A,0.60
Aqua Patch - 119/145 (League Promo),Promo,League & Championship Cards,Item,N/A,0.59
Acro Bike (#29 Latias),Uncommon,XY Trainer Kit: Latias & Latios,Item,N/A,0.59
Moo-Moo Milk,Common,Expedition,Item,N/A,0.59
Switch (Gyarados),Common,HGSS Trainer Kit: Gyarados & Raichu,Item,N/A,0.58
Acro Bike,Uncommon,SM - Celestial Storm,Item,N/A,0.56
Root Fossil,Common,Holon Phantoms,Item,N/A,0.56
Mysterious Treasure - 113a/131 (League Promo),Promo,League & Championship Cards,Item,N/A,0.56
Acro Bike (#20 Latios),Uncommon,XY Trainer Kit: Latias & Latios,Item,N/A,0.55
Pokenav,Uncommon,Emerald,Item,N/A,0.55
Rescue Stretcher - 130a/145 (League Promo),Promo,League & Championship Cards,Item,N/A,0.55
Evolution Incense,Uncommon,SWSH01: Sword & Shield Base Set,Item,N/A,0.53
Professor's Letter,Uncommon,XY - BREAKthrough,Item,N/A,0.53
Energy Search (Minun),Common,EX Trainer Kit 2: Plusle & Minun,Item,N/A,0.52
Bill's Teleporter,Uncommon,Neo Genesis,Item,N/A,0.51
Beedrill Spirit Link,Promo,XY Promos,Item,N/A,0.51
Pokemon Catcher,Common,Kalos Starter Set,Item,N/A,0.50
Double Full Heal,Uncommon,Emerald,Item,N/A,0.50
Energy Recycle System,Uncommon,Dragon,Item,N/A,0.50
Double Full Heal,Uncommon,EX Battle Stadium,Item,N/A,0.50
Warp Point,Uncommon,Team Magma vs Team Aqua,Item,N/A,0.50
Poke Ball,Uncommon,Unseen Forces,Item,N/A,0.50
Energy Removal 2,Uncommon,Ruby and Sapphire,Item,N/A,0.50
Warp Point,Uncommon,Unseen Forces,Item,N/A,0.49
Energy Recycle System,Uncommon,Unseen Forces,Item,N/A,0.49
Electropower - 172/214 (#34 Pikachu Stamped),Uncommon,Battle Academy,Item,N/A,0.49
Nest Ball,Uncommon,SM Base Set,Item,N/A,0.49
Energy Switch,Uncommon,FireRed & LeafGreen,Item,N/A,0.48
Enhanced Hammer - 94/108 (League Promo),Promo,League & Championship Cards,Item,N/A,0.48
Potion (#20 - Sylveon),Common,XY Trainer Kit: Sylveon & Noivern,Item,N/A,0.48
Net Ball,Uncommon,SM - Lost Thunder,Item,N/A,0.48
Metal Frying Pan,Uncommon,SM - Forbidden Light,Item,N/A,0.48
Jamming Net,Holo Rare,XY - Phantom Forces,Item,N/A,0.48
Energy Restore,Uncommon,Ruby and Sapphire,Item,N/A,0.48
Energy Switch,Uncommon,Unseen Forces,Item,N/A,0.47
Poke Ball (Sylveon),Common,XY Trainer Kit: Sylveon & Noivern,Item,N/A,0.46
Heal Powder,Common,Neo Destiny,Item,N/A,0.46
Ultra Ball,Uncommon,Shining Legends,Item,N/A,0.46
Acro Bike,Uncommon,XY - Primal Clash,Item,N/A,0.46
Level Ball,Uncommon,XY - Ancient Origins,Item,N/A,0.45
Rare Candy,Uncommon,SM - Celestial Storm,Item,N/A,0.44
Power Charge,Uncommon,Expedition,Item,N/A,0.44
Pokenav,Uncommon,Ruby and Sapphire,Item,N/A,0.44
Poke Ball,Uncommon,Ruby and Sapphire,Item,N/A,0.44
Karate Belt,Uncommon,SM - Unified Minds,Item,N/A,0.43
Metal Frying Pan - 112a/131 (League Promo),Promo,League & Championship Cards,Item,N/A,0.42
Mysterious Fossil,Common,Holon Phantoms,Item,N/A,0.41
Beast Ring - 102a/131 (League Promo),Promo,League & Championship Cards,Item,N/A,0.41
Beast Ring,Rare,SM - Forbidden Light,Item,N/A,0.40
Team Aqua's Great Ball,Uncommon,Double Crisis,Item,N/A,0.40
Team Magma's Great Ball,Uncommon,Double Crisis,Item,N/A,0.40
Double Full Heal,Uncommon,Sandstorm,Item,N/A,0.39
Switch,Common,Delta Species,Item,N/A,0.39
Acro Bike (#20 Latias),Uncommon,XY Trainer Kit: Latias & Latios,Item,N/A,0.39
Life Herb,Uncommon,FireRed & LeafGreen,Item,N/A,0.39
Switch,Uncommon,Shining Legends,Item,N/A,0.39
Bodybuilding Dumbbells - 113/147 (League Promo),Promo,League & Championship Cards,Item,N/A,0.38
Beast Ring - 102/131 (League Promo),Promo,League & Championship Cards,Item,N/A,0.38
Professor Elm's Lecture,Uncommon,SM - Lost Thunder,Item,N/A,0.38
Full Heal,Uncommon,HeartGold SoulSilver,Item,N/A,0.38
Full Heal,Common,Expedition,Item,N/A,0.37
Professor's Letter (Sylveon),Common,XY Trainer Kit: Sylveon & Noivern,Item,N/A,0.37
Switch,Common,Ruby and Sapphire,Item,N/A,0.37
Level Ball,Uncommon,SWSH05: Battle Styles,Item,N/A,0.36
Field Blower - 125a/145 (League Promo),Promo,League & Championship Cards,Item,N/A,0.35
Pokemon Communication (Zoroark),Common,BW Trainer Kit: Excadrill & Zoroark,Item,N/A,0.35
Order Pad,Uncommon,SM - Ultra Prism,Item,N/A,0.35
Rare Candy,Uncommon,SWSH01: Sword & Shield Base Set,Item,N/A,0.35
Energy Search (Manaphy),Common,DP Trainer Kit: Manaphy & Lucario,Item,N/A,0.35
Poke Ball (Gyarados),Common,HGSS Trainer Kit: Gyarados & Raichu,Item,N/A,0.35
Dual Ball,Uncommon,Unleashed,Item,N/A,0.35
Poke Ball (Raichu),Common,HGSS Trainer Kit: Gyarados & Raichu,Item,N/A,0.35
Lure Ball,Uncommon,SM - Celestial Storm,Item,N/A,0.35
Max Potion - 128a/145 (League Promo),Promo,League & Championship Cards,Item,N/A,0.34
Potion,Common,Legendary Collection,Item,N/A,0.34
Pal Pad,Uncommon,XY - Flashfire,Item,N/A,0.34
Old Rod,Common,Neo Revelation,Item,N/A,0.33
Rare Candy,Uncommon,SM Base Set,Item,N/A,0.33
Reset Stamp,Uncommon,SM - Unified Minds,Item,N/A,0.33
Custom Catcher,Uncommon,SM - Lost Thunder,Item,N/A,0.33
Rescue Stretcher,Uncommon,SM - Guardians Rising,Item,N/A,0.33
Great Ball,Uncommon,Champion's Path,Item,N/A,0.33
Net Ball (League Promo) - 187a/214,Promo,League & Championship Cards,Item,N/A,0.33
Energy Removal 2,Uncommon,FireRed & LeafGreen,Item,N/A,0.32
Robo Substitute,Uncommon,XY - Phantom Forces,Item,N/A,0.32
Switch,Common,FireRed & LeafGreen,Item,N/A,0.32
Great Ball,Uncommon,SWSH01: Sword & Shield Base Set,Item,N/A,0.32
Pokemon Catcher (Sylveon),Common,XY Trainer Kit: Sylveon & Noivern,Item,N/A,0.30
Great Ball - 119/149 (#38 Pikachu Stamped),Uncommon,Battle Academy,Item,N/A,0.30
Ultra Ball,Uncommon,SM Base Set,Item,N/A,0.30
Potion,Common,Kalos Starter Set,Item,N/A,0.30
Energy Search,Common,Ruby and Sapphire,Item,N/A,0.30
Lost Blender - 181/214 (League Promo),Promo,League & Championship Cards,Item,N/A,0.29
Great Catcher,Uncommon,SM - Cosmic Eclipse,Item,N/A,0.29
Moomoo Milk (#26),Common,HGSS Trainer Kit: Gyarados & Raichu,Item,N/A,0.29
Enhanced Hammer - 124a/145 (League Promo),Promo,League & Championship Cards,Item,N/A,0.29
Tag Call,Uncommon,SM - Cosmic Eclipse,Item,N/A,0.29
Pal Pad,Uncommon,SM - Ultra Prism,Item,N/A,0.29
Ultra Ball,Uncommon,XY - Flashfire,Item,N/A,0.29
Town Map,Uncommon,XY - BREAKthrough,Item,N/A,0.29
Aqua Patch,Uncommon,SM - Guardians Rising,Item,N/A,0.29
Life Herb,Uncommon,Hidden Legends,Item,N/A,0.29
Trick Shovel,Uncommon,XY - Flashfire,Item,N/A,0.29
Energy Retrieval,Uncommon,SWSH01: Sword & Shield Base Set,Item,N/A,0.28
Startling Megaphone,Uncommon,XY - Flashfire,Item,N/A,0.28
Puzzle of Time,Uncommon,XY - BREAKpoint,Item,N/A,0.28
Claw Fossil,Common,Legend Maker,Item,N/A,0.28
Special Charge,Uncommon,XY - Steam Siege,Item,N/A,0.27
PokeNav,Uncommon,SM - Celestial Storm,Item,N/A,0.27
Heavy Ball,Uncommon,XY - BREAKthrough,Item,N/A,0.27
Energy Recycle System,Uncommon,SM - Celestial Storm,Item,N/A,0.27
Sacred Ash,Uncommon,XY - Flashfire,Item,N/A,0.27
Energy Switch,Uncommon,SM - Celestial Storm,Item,N/A,0.26
Repeat Ball,Uncommon,XY - Primal Clash,Item,N/A,0.26
Turbo Patch,Uncommon,SWSH03: Darkness Ablaze,Item,N/A,0.26
Energy Switch,Uncommon,XY - Furious Fists,Item,N/A,0.26
Ultra Ball,Uncommon,XY - Roaring Skies,Item,N/A,0.26
Red Card,Uncommon,Generations,Item,N/A,0.26
Red Card,Uncommon,Generations,Item,N/A,0.26
Capacious Bucket,Uncommon,SWSH02: Rebel Clash,Item,N/A,0.26
Moomoo Milk (#1),Common,HGSS Trainer Kit: Gyarados & Raichu,Item,N/A,0.26
Fan of Waves,Uncommon,SWSH05: Battle Styles,Item,N/A,0.26
Great Ball,Uncommon,Shining Legends,Item,N/A,0.26
Friend Ball,Uncommon,SM - Celestial Storm,Item,N/A,0.26
Target Whistle,Uncommon,XY - Phantom Forces,Item,N/A,0.26
"Great Ball (#21, Alolan Sandslash Half-Deck)",Uncommon,SM Trainer Kit: Alolan Sandslash & Alolan Ninetales,Item,N/A,0.25
Poke Ball (Noivern),Common,XY Trainer Kit: Sylveon & Noivern,Item,N/A,0.25
Energy Retrieval,Common,BW Trainer Kit: Excadrill & Zoroark,Item,N/A,0.25
Sparkling Robe,Uncommon,XY - Furious Fists,Item,N/A,0.25
Potion (#15 - Noivern),Common,XY Trainer Kit: Sylveon & Noivern,Item,N/A,0.25
Great Ball - 119/149 (#43 Charizard Stamped),Uncommon,Battle Academy,Item,N/A,0.25
Revitalizer,Uncommon,Generations,Item,N/A,0.25
